PathID	ReceptorRound	LigandRound	SBGN-Inhibition	ReceptorSquare	LigandSquare	Receptor	mim-covalent-bond	mim-gap	mim-translocation	SBGN-Production	mim-branching-left	mim-branching-right	SBGN-Catalysis	mim-cleavage	mim-necessary-stimulation	mim-modification	TBar	mim-transcription-translation	mim-binding	mim-inhibition	mim-stimulation	mim-catalysis	mim-conversion	Arrow
WP5344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	13	3	3	14
WP5313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	4	4
WP688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
WP5097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	3	0	0	0	150
WP3679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1	0	20
WP179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	11	0	0	0	40
WP2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	2	50
WP2029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	42
WP5284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	1	10
WP5417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP4561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	1	0	0	0	4
WP4493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
WP4918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	12
WP4519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	24	6
WP3929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	6	0	0	53
WP5238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	14	1	3	2
WP5329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	1	0	47	24	69
WP197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	2
WP4804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	19	4
WP4718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	54	21	42
WP5304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	5	119	52	126
WP5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	20	21
WP4216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	1	5	29
WP5283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	5	2	45
